,Lawyer Names,experience,field,feedback,gender,charge,avg_days_for_disposal,lang,practices_at,location,cd,isprobo
14,Ivan Koshy,21,"[' Banking  Finance ', 'Constitutional ', '  Media  Entertainment ']",5.0,m,90.36541355668061,76.51800284634244,"['Bengali', 'Assamese']",Roy,Delhi, Small Businesses,False
15,Reyansh Sibal,4,"['Corporate ', ' Intellectual Property ', '  Medical ']",4.0,m,482.6946752964993,98.26525590339449,"['Urdu', 'Marathi', 'Telugu']",Chatterjee,Kolkata, Large Corporations,True
16,Vedika Vala,8,"['Environmental ', ' Corporate ', '  Criminal ']",4.0,f,413.2677421968127,78.99776899982581,"['Punjabi', 'Urdu']",De Inc,Hyderabad, Individuals,True
17,Aaryahi Sood,24,"['Consumer Protection ', '  Labor ', ' Media  Entertainment ']",2.0,m,256.8347394604071,85.48761065951552,"['Gujarati', 'Telugu']",Shankar-Sodhi,Mumbai, Small Businesses,True
18,Suhana Bawa,3,"['  Banking  Finance ', 'Human Rights ', ' Labor ']",3.0,f,150.621146745652,65.59032408079027,"['Tamil', 'Odia', 'Telugu']",Keer-Saini,Delhi, Large Corporations,True
19,Anahi Gala,22,"[' Consumer Protection ', '  Immigration ', 'Labor ']",,m,470.0547973624335,,"['Tamil', 'Odia', 'Gujarati']",Kala Inc,Delhi, Large Corporations,True
20,Gatik Suresh,21,"['Corporate ', ' Environmental ', '  Environmental ']",3.0,m,205.06846807713728,89.33590020233027,"['Bengali', 'Assamese', 'Kannada']",Chauhan-Choudhary,Bangalore, Individuals,False
21,Saanvi Thakur,2,"[' Banking  Finance ', '  Media  Entertainment ', 'Labor ']",3.0,f,122.44299425931864,79.06561124950257,"['Urdu', 'Kannada', 'Telugu']",Garde,Chennai, Individuals,True
22,Bhavin Kata,24,"[' Civil ', '  Family ', 'Kata has 24 years of experience in Family ']",5.0,m,303.42397480427974,87.16478553476288,"['Odia', 'Assamese', 'Telugu']",Dave,Bangalore, Large Corporations,True
23,Shayak Wable,12,"['Consumer Protection ', '  Constitutional ', ' Media  Entertainment ']",4.0,m,474.69835415516724,92.70442320755167,"['Malayalam', 'Gujarati', 'Kannada']",Dube Ltd,Mumbai, Individuals,True
24,Nakul Varughese,6,"['  Environmental ', 'Tax ', ' Criminal ']",5.0,m,51.723630725145156,77.77697776635983,"['Bengali', 'Malayalam', 'Urdu']",Shetty,Hyderabad, Individuals,False
25,Aarush Rajagopalan,2,"[' Medical ', 'Labor ', '  Human Rights ']",3.0,m,157.15617946429944,67.85606183997331,"['Malayalam', 'Kannada', 'Telugu']",Date-Upadhyay,Delhi, Large Corporations,False
26,Krish Ramachandran,28,"['Medical ', ' Human Rights ', '  Family ']",4.0,m,472.30143818468343,117.08361649030223,"['Tamil', 'Kannada', 'Telugu']",Balasubramanian PLC,Delhi, Small Businesses,True
27,Rhea De,21,"['Constitutional ', '  Corporate ', ' Civil ']",1.0,f,126.98868508572292,80.50090942934591,"['Tamil', 'Malayalam', 'Punjabi']",Ganesh,Kolkata, Small Businesses,False
28,Sahil D’Alia,1,"['  Banking  Finance ', ' Immigration ', 'Labor ']",5.0,m,100.95955323791894,88.54859845219666,"['Punjabi', 'Malayalam', 'Odia']",Dhillon-Kumar,Chennai, Large Corporations,False
29,Eshani Hayre,12,"['Immigration ', ' Immigration ', '  Tax ']",,f,306.584247109912,,"['Bengali', 'Urdu', 'Marathi']",Dora,Chennai, Small Businesses,True
30,Advika Walla,26,"['Environmental ', ' Banking  Finance ', '  Criminal ']",4.0,f,437.82972048267345,142.93582781355727,"['Punjabi', 'Odia', 'Urdu']",Chaudhuri,Kolkata, Large Corporations,False
31,Aaryahi Banik,22,"['Environmental ', ' Human Rights ', '  Environmental ']",1.0,m,264.69941796226675,71.33270325166701,"['Hindi', 'Bengali']",Bhagat-Singhal,Mumbai, Large Corporations,True
32,Yasmin Kalla,29,"[' Family ', 'Kalla has 29 years of experience in Family ', '  Media  Entertainment ']",1.0,f,497.55391550803614,96.74740820589764,"['Malayalam', 'Odia']",Din Group,Chennai, Individuals,True
33,Mahika Varma,12,"[' Real Estate ', 'Constitutional ', '  Family ']",4.0,f,355.62726479209675,79.3867157205884,"['Tamil', 'Odia', 'Gujarati']",Handa Ltd,Delhi, Small Businesses,True
34,Ira Mall,25,"['Consumer Protection ', ' Consumer Protection ', '  Banking  Finance ']",2.0,f,83.33370824470148,81.91814543134933,"['Tamil', 'Malayalam', 'Urdu']",Halder LLC,Mumbai, Large Corporations,False
35,Madhav Agarwal,17,"['Medical ', ' Intellectual Property ', '  Media  Entertainment ']",5.0,m,496.7744592568889,79.19681968489814,"['Hindi', 'Bengali', 'Gujarati']",Sheth-Shere,Bangalore, Small Businesses,True
36,Kanav Sahni,27,"['Intellectual Property ', ' Tax ', '  Civil ']",5.0,m,233.55240655108568,73.11517548299122,"['Malayalam', 'Kannada']",Thaker and Sons,Bangalore, Small Businesses,True
37,Anaya Choudhary,27,"[' Medical ', 'Constitutional ', '  Tax ']",3.0,f,179.33114023046713,89.38062957323008,"['Assamese', 'Hindi', 'Gujarati']",Bhasin-Mangal,Mumbai, Small Businesses,False
38,Drishya Rattan,10,"['Environmental ', ' Environmental ', '  Family ']",4.0,f,301.04563261004853,67.88245969427646,"['Hindi', 'Tamil', 'Gujarati']",Kalita,Delhi, Large Corporations,True
39,Nitya Talwar,28,"['Immigration ', '  Intellectual Property ', ' Civil ']",,f,186.93841631938895,,"['Tamil', 'Bengali', 'Kannada']",Tandon-Kari,Bangalore, Individuals,True
40,Ivana Madan,28,"['Media  Entertainment ', '  Medical ', ' Media  Entertainment ']",3.0,m,88.90587820406854,90.82504404050061,"['Hindi', 'Gujarati', 'Telugu']",Banik-Raval,Hyderabad, Small Businesses,False
41,Purab Contractor,16,"[' Environmental ', 'Tax ', '  Corporate ']",1.0,m,50.64275438562952,96.3365245935216,"['Odia', 'Kannada', 'Telugu']",Karan and Sons,Delhi, Large Corporations,True
42,Riya Kannan,15,"['  Real Estate ', 'Family ', ' Immigration ']",5.0,f,252.31250881411805,83.00717082080666,"['Bengali', 'Malayalam', 'Urdu']",Gole-Balakrishnan,Kolkata, Small Businesses,False
43,Zoya Verma,15,"['Intellectual Property ', ' Labor ', '  Environmental ']",3.0,f,426.5885400019665,84.49194098682378,"['Gujarati', 'Odia', 'Marathi']",Konda and Sons,Chennai, Individuals,True
44,Jhanvi Gaba,19,"[' Corporate ', 'Immigration ', '  Medical ']",1.0,m,307.54183353353443,94.31345857750992,"['Marathi', 'Kannada']",Dar-Kapur,Mumbai, Small Businesses,False
45,Shaan Soni,12,"['Consumer Protection ', ' Criminal ', '  Human Rights ']",4.0,m,499.6432845245484,72.53924051391262,"['Tamil', 'Hindi', 'Marathi']",Raj,Chennai, Large Corporations,False
46,Stuvan Krish,23,"['Media  Entertainment ', ' Real Estate ', '  Constitutional ']",3.0,m,179.08099054124,84.63014348379997,"['Punjabi', 'Malayalam', 'Telugu']",Varughese-Ben,Kolkata, Small Businesses,False
47,Manikya Gour,20,"['  Banking  Finance ', 'Human Rights ', ' Labor ']",5.0,m,176.2047791420249,77.1057972918232,"['Odia', 'Kannada', 'Telugu']",Sura,Bangalore, Small Businesses,False
48,Kavya Rattan,25,"['Consumer Protection ', ' Real Estate ', '  Corporate ']",3.0,f,121.8872571052749,76.64146784113478,"['Hindi', 'Malayalam', 'Kannada']",Sem and Sons,Hyderabad, Small Businesses,True
49,Diya Bassi,3,"[' Family ', 'Immigration ', '  Tax ']",,f,123.82861471940083,,"['Assamese', 'Telugu']",Guha,Delhi, Individuals,True
50,Pari Garde,5,"['Human Rights ', '  Intellectual Property ', ' Tax ']",3.0,f,178.3339682045215,110.0898988422,"['Hindi', 'Assamese']",Kala-Bera,Delhi, Small Businesses,False
51,Saksham Amble,19,"[' Banking  Finance ', 'Criminal ', '  Criminal ']",5.0,m,406.7780203730872,79.70191870269346,"['Hindi', 'Malayalam', 'Tamil']",Bali,Kolkata, Large Corporations,True
52,Jivin Kalla,7,"[' Banking  Finance ', '  Civil ', 'Kalla has 7 years of experience in Family ']",1.0,m,457.5905557864015,107.45064082745326,"['Hindi', 'Gujarati', 'Kannada']",Jha Group,Mumbai, Small Businesses,True
53,Aaina Ganesan,21,"['Constitutional ', ' Immigration ', '  Constitutional ']",5.0,m,488.7892263684566,106.03188482091439,"['Hindi', 'Marathi']",Tara Inc,Chennai, Small Businesses,True
54,Jayan Kaur,9,"[' Corporate ', 'Human Rights ', '  Environmental ']",1.0,f,154.53034434340367,70.7100044022526,"['Odia', 'Urdu', 'Gujarati']",Kunda,Hyderabad, Small Businesses,True
55,Dhruv Yohannan,7,"['Media  Entertainment ', ' Human Rights ', '  Banking  Finance ']",2.0,m,446.5838955263413,73.67383146490732,"['Marathi', 'Assamese', 'Telugu']",Reddy and Sons,Bangalore, Individuals,True
56,Hiran Dave,18,"['Banking  Finance ', ' Consumer Protection ', '  Constitutional ']",5.0,m,197.71479017480166,128.40754439033526,"['Tamil', 'Malayalam']",Raman PLC,Mumbai, Large Corporations,True
57,Madhav Malhotra,4,"[' Human Rights ', 'Human Rights ', '  Corporate ']",5.0,m,100.778245032598,116.26388912890715,"['Tamil', 'Malayalam', 'Odia']",Deshmukh-Raju,Hyderabad, Small Businesses,True
58,Ivan Chaudhuri,25,"['Corporate ', '  Banking  Finance ', ' Labor ']",4.0,m,441.5112164840745,89.52722230007844,"['Tamil', 'Urdu', 'Telugu']",Srivastava,Hyderabad, Large Corporations,False
59,Azad Suri,28,"[' Real Estate ', 'Tax ', '  Tax ']",,m,336.24753558962834,,"['Odia', 'Gujarati', 'Kannada']",Raju,Kolkata, Large Corporations,True
60,Priyansh Choudhry,14,"['Corporate ', ' Intellectual Property ', '  Criminal ']",1.0,m,124.12890323647778,80.53730395579217,"['Punjabi', 'Kannada']",Kaur-Mahajan,Kolkata, Individuals,False
61,Tara Bains,18,"['  Labor ', ' Family ', 'Constitutional ']",1.0,f,243.42406588085115,96.4852907130051,"['Urdu', 'Assamese', 'Kannada']",Khatri-D’Alia,Delhi, Large Corporations,False
62,Gokul Sangha,26,"['Constitutional ', ' Intellectual Property ', '  Human Rights ']",4.0,m,179.26596269468044,79.24227148916293,"['Odia', 'Gujarati']",Shroff,Bangalore, Small Businesses,False
63,Jivin Srivastava,9,"[' Corporate ', '  Intellectual Property ', 'Srivastava has 9 years of experience in Family ']",4.0,m,381.55755591958865,59.51469353552423,"['Assamese', 'Malayalam', 'Gujarati']",Chokshi,Mumbai, Individuals,True
64,Ranbir Sharaf,26,"[' Consumer Protection ', 'Constitutional ', '  Environmental ']",3.0,m,254.03730378092064,70.17666320233424,"['Punjabi', 'Hindi', 'Gujarati']",Amble LLC,Delhi, Individuals,True
65,Damini Virk,21,"['Environmental ', ' Consumer Protection ', '  Labor ']",3.0,f,495.1759752978732,90.3163912177588,"['Hindi', 'Malayalam', 'Marathi']",Sarkar Ltd,Bangalore, Large Corporations,False
66,Ivan Dhaliwal,2,"['Human Rights ', ' Labor ', '  Civil ']",5.0,m,74.63524201681781,73.03399146746119,"['Odia', 'Gujarati', 'Kannada']",Mammen,Chennai, Individuals,False
67,Akarsh Karnik,20,"[' Environmental ', 'Human Rights ', '  Criminal ']",2.0,m,209.756869761311,88.99083802629698,"['Punjabi', 'Urdu', 'Telugu']",Tara LLC,Chennai, Large Corporations,True
68,Urvi Setty,28,"['  Consumer Protection ', ' Family ', 'Criminal ']",3.0,f,266.8550751994899,73.88008440850706,"['Hindi', 'Assamese', 'Kannada']",Vaidya Group,Delhi, Large Corporations,True
69,Anahi Date,15,"[' Medical ', 'Intellectual Property ', '  Consumer Protection ']",,m,276.4100996367439,,"['Marathi', 'Telugu']",Tak,Mumbai, Individuals,True
70,Tara Sood,28,"[' Consumer Protection ', 'Constitutional ', '  Criminal ']",3.0,f,192.17112007353654,102.79747959619787,"['Assamese', 'Tamil', 'Gujarati']",Chakrabarti,Bangalore, Small Businesses,False
71,Kiara Doctor,7,"['Corporate ', ' Consumer Protection ', '  Intellectual Property ']",1.0,f,378.15811209390563,93.71220821460157,"['Bengali', 'Hindi', 'Gujarati']",Dalal,Chennai, Large Corporations,False
72,Ishita Choudhry,12,"['Media  Entertainment ', '  Immigration ', ' Labor ']",2.0,f,443.6361830700386,89.8550336802998,"['Bengali', 'Punjabi', 'Kannada']",Sarraf-Sibal,Chennai, Individuals,True
73,Yashvi Bakshi,29,"['  Labor ', 'Constitutional ', ' Immigration ']",5.0,f,472.42368589003837,103.18445959605977,"['Odia', 'Marathi', 'Telugu']",Chakraborty,Mumbai, Individuals,True
74,Stuvan Cherian,8,"['Consumer Protection ', '  Family ', ' Constitutional ']",1.0,m,412.2920195597868,97.2091289002102,"['Assamese', 'Marathi', 'Telugu']",Choudhry Ltd,Delhi, Large Corporations,False
75,Advik Dora,15,"[' Family ', 'Criminal ', '  Constitutional ']",1.0,m,432.76108878796975,111.69844936877051,"['Urdu', 'Assamese']",Chaudhry,Kolkata, Large Corporations,True
76,Zara Sant,3,"['Environmental ', ' Intellectual Property ', '  Environmental ']",2.0,f,297.745385278998,83.1021110652729,"['Malayalam', 'Urdu', 'Kannada']",Swamy-Hayre,Hyderabad, Large Corporations,True
77,Saksham Jani,14,"['Environmental ', ' Corporate ', '  Immigration ']",5.0,m,421.64970189206656,83.55547532208737,"['Punjabi', 'Tamil']",Gara,Bangalore, Large Corporations,False
78,Aniruddh Yohannan,17,"['Media  Entertainment ', ' Consumer Protection ', '  Family ']",4.0,m,186.5767591165785,70.48336100412982,"['Punjabi', 'Tamil', 'Odia']",Kapoor Inc,Chennai, Small Businesses,False
79,Aniruddh Baria,4,"[' Consumer Protection ', 'Labor ', '  Human Rights ']",,m,229.31544294914647,,"['Bengali', 'Marathi', 'Gujarati']",Bail-Varughese,Hyderabad, Small Businesses,True
80,Kartik Viswanathan,18,"[' Banking  Finance ', 'Human Rights ', '  Tax ']",3.0,m,192.61085621834494,104.47154841453668,"['Assamese', 'Marathi', 'Kannada']",Brar,Hyderabad, Small Businesses,False
81,Lakshit Mani,8,"['Environmental ', '  Environmental ', ' Tax ']",1.0,m,260.32430095156644,109.499810583932,"['Bengali', 'Telugu']",Sane-Loke,Kolkata, Small Businesses,True
82,Devansh Mangal,4,"['Human Rights ', '  Environmental ', ' Media  Entertainment ']",3.0,m,178.51082730738636,104.40457752130001,"['Bengali', 'Malayalam', 'Marathi']",Kunda LLC,Hyderabad, Individuals,False
83,Nakul Chakraborty,2,"['  Consumer Protection ', ' Immigration ', 'Labor ']",4.0,m,482.7251490145011,63.08712200175846,"['Punjabi', 'Urdu', 'Marathi']",Bhatia Ltd,Mumbai, Large Corporations,True
84,Hridaan Bhattacharyya,6,"[' Consumer Protection ', 'Immigration ', '  Intellectual Property ']",3.0,m,190.78008260255066,106.24717818991101,"['Bengali', 'Urdu', 'Marathi']",Kanda-Agrawal,Delhi, Individuals,True
85,Faiyaz Shroff,22,"['Tax ', ' Constitutional ', '  Tax ']",5.0,m,94.12004214992292,62.42222065091894,"['Urdu', 'Marathi', 'Telugu']",Tripathi-Garg,Bangalore, Individuals,True
86,Nitara Saha,10,"['  Constitutional ', ' Tax ', 'Real Estate ']",3.0,f,287.067724722686,103.47175986183521,"['Bengali', 'Odia', 'Urdu']",Sandhu and Sons,Mumbai, Small Businesses,False
87,Riya Sane,4,"[' Banking  Finance ', 'Medical ', '  Real Estate ']",4.0,f,75.69458530032936,84.48323210143417,"['Tamil', 'Odia', 'Urdu']",Basak LLC,Delhi, Individuals,False
88,Mohanlal Krishnan,22,"['Environmental ', '  Family ', ' Criminal ']",4.0,m,99.74442483886124,100.53799970900783,"['Tamil', 'Hindi', 'Telugu']",Zachariah and Sons,Mumbai, Small Businesses,True
89,Yashvi Krish,29,"['  Consumer Protection ', 'Intellectual Property ', ' Immigration ']",,f,148.72522513831083,,"['Bengali', 'Tamil', 'Punjabi']",Bail Group,Chennai, Large Corporations,True
90,Rasha Deol,18,"['Consumer Protection ', ' Corporate ', '  Environmental ']",5.0,f,258.95761244696376,107.5675144905922,"['Punjabi', 'Odia', 'Kannada']",Mahal-Solanki,Chennai, Small Businesses,False
91,Nirvaan Ramaswamy,26,"['Civil ', ' Real Estate ', '  Immigration ']",4.0,m,244.96291953906254,68.02537880842667,"['Tamil', 'Urdu']",Kothari Ltd,Kolkata, Large Corporations,True
92,Indrans Khalsa,12,"[' Family ', 'Immigration ', '  Medical ']",1.0,m,409.86133790125604,79.97317633720233,"['Hindi', 'Malayalam', 'Urdu']",Sarin-Mane,Mumbai, Small Businesses,True
93,Adira Borah,2,"['Environmental ', '  Consumer Protection ', ' Labor ']",4.0,m,382.763594247851,75.02858058346447,"['Bengali', 'Malayalam', 'Telugu']",Bhandari and Sons,Hyderabad, Individuals,True
94,Armaan Bhargava,10,"[' Corporate ', 'Human Rights ', '  Family ']",3.0,m,241.8432322958156,63.68572720766252,"['Punjabi', 'Gujarati', 'Kannada']",Date,Chennai, Individuals,True
95,Nirvi Kalla,4,"[' Medical ', '  Family ', 'Tax ']",3.0,f,200.16689340903346,91.41791351382703,"['Punjabi', 'Odia', 'Telugu']",Rege-Barad,Delhi, Small Businesses,True
96,Hrishita Raval,14,"[' Family ', '  Medical ', 'Labor ']",3.0,m,192.41095282767435,117.09133676755442,"['Malayalam', 'Odia', 'Kannada']",Wali LLC,Kolkata, Large Corporations,True
97,Manjari D’Alia,16,"['Corporate ', '  Intellectual Property ', ' Tax ']",5.0,f,398.29778928230405,130.00357833480012,"['Hindi', 'Tamil', 'Marathi']",Borra Ltd,Hyderabad, Large Corporations,True
98,Reyansh Kota,15,"['Medical ', ' Environmental ', '  Media  Entertainment ']",3.0,m,73.43258279957138,91.45733680629371,"['Marathi', 'Gujarati', 'Kannada']",Goda-Chahal,Bangalore, Small Businesses,True
99,Rohan Sehgal,8,"['Civil ', ' Labor ', '  Environmental ']",,m,55.76974227977262,,"['Bengali', 'Malayalam', 'Odia']",Randhawa,Mumbai, Individuals,True
100,Miraan Garg,14,"['Tax ', '  Tax ', ' Civil ']",5.0,m,407.99497636699164,93.48141956892806,"['Gujarati', 'Urdu', 'Assamese']",Dayal and Sons,Chennai, Large Corporations,False
101,Dhruv Guha,23,"['  Labor ', 'Tax ', ' Media  Entertainment ']",4.0,m,264.7158691950722,97.48324792152319,"['Hindi', 'Tamil', 'Odia']",Bahri,Hyderabad, Small Businesses,True
102,Ishita Varkey,28,"['Media  Entertainment ', ' Media  Entertainment ', '  Human Rights ']",1.0,f,108.89651234910919,84.86777023309142,"['Bengali', 'Gujarati', 'Punjabi']",Goswami,Delhi, Large Corporations,True
103,Eshani Wali,25,"['Environmental ', ' Intellectual Property ', '  Real Estate ']",4.0,f,156.00467056752558,92.92615388133903,"['Odia', 'Marathi', 'Telugu']",Ahuja Group,Mumbai, Individuals,False
104,Hiran Bhatt,8,"['Immigration ', ' Criminal ', '  Intellectual Property ']",4.0,m,469.6267788938221,98.06218056909643,"['Gujarati', 'Marathi', 'Kannada']",Anne PLC,Delhi, Large Corporations,False
105,Eshani Shukla,21,"['Banking  Finance ', '  Media  Entertainment ', ' Immigration ']",5.0,f,436.7763390312041,81.32310406685502,"['Bengali', 'Gujarati', 'Kannada']",Dhillon,Kolkata, Small Businesses,False
106,Advika Raja,16,"['Civil ', ' Consumer Protection ', '  Civil ']",5.0,f,369.40327260078766,88.83758550160518,"['Tamil', 'Hindi', 'Kannada']",Agrawal,Chennai, Large Corporations,True
107,Ela Sandal,13,"['Medical ', ' Environmental ', '  Human Rights ']",3.0,f,267.001353651797,89.12354821503767,"['Bengali', 'Odia', 'Telugu']",Chand-Ramachandran,Chennai, Large Corporations,False
108,Rania Deshpande,18,"[' Banking  Finance ', 'Family ', '  Environmental ']",3.0,f,284.14563178612354,102.39604975995786,"['Tamil', 'Odia', 'Telugu']",Bhatt,Kolkata, Individuals,False
109,Farhan Solanki,15,"[' Medical ', '  Intellectual Property ', 'Real Estate ']",,m,488.8600408777814,,"['Assamese', 'Punjabi', 'Marathi']",Sahni-Dube,Delhi, Individuals,True
110,Shlok Baria,21,"['Family ', ' Environmental ', '  Constitutional ']",2.0,f,484.5966997479292,89.22686687088523,"['Punjabi', 'Odia', 'Urdu']",Goyal-Amble,Mumbai, Individuals,False
111,Vanya Dani,24,"['Banking  Finance ', ' Corporate ', '  Real Estate ']",2.0,m,146.8710706036254,118.68008203579046,"['Punjabi', 'Bengali', 'Telugu']",Gandhi Ltd,Delhi, Individuals,True
112,Rohan Anand,26,"['  Consumer Protection ', 'Human Rights ', ' Criminal ']",3.0,m,414.99705483739314,107.46090228878907,"['Hindi', 'Marathi']",Jayaraman,Mumbai, Small Businesses,False
113,Vihaan Bhatnagar,25,"[' Real Estate ', 'Human Rights ', '  Medical ']",2.0,m,138.75919977515755,110.23768573333058,"['Tamil', 'Kannada']",Gaba-Kade,Hyderabad, Large Corporations,False
114,Darshit Karan,28,"['Consumer Protection ', ' Human Rights ', '  Criminal ']",3.0,m,146.09186504777813,90.36647760267051,"['Hindi', 'Assamese', 'Telugu']",Sangha,Kolkata, Large Corporations,False
115,Ayesha Kar,28,"['Civil ', ' Media  Entertainment ', '  Civil ']",5.0,f,354.24186537405956,94.81496345529035,"['Tamil', 'Marathi']",Virk Inc,Bangalore, Large Corporations,False
116,Navya Hayre,28,"['Family ', ' Family ', '  Corporate ']",4.0,f,232.2504943643968,105.03354250054389,"['Tamil', 'Gujarati', 'Kannada']",Gera Group,Mumbai, Large Corporations,False
117,Khushi Taneja,13,"['Media  Entertainment ', '  Banking  Finance ', ' Family ']",1.0,f,469.1949831979341,113.40383294296396,"['Bengali', 'Kannada']",Mani Ltd,Chennai, Small Businesses,True
118,Aayush Saran,9,"[' Corporate ', 'Human Rights ', '  Intellectual Property ']",4.0,m,90.05438070320398,60.7259563067567,"['Tamil', 'Bengali', 'Punjabi']",Lall LLC,Hyderabad, Individuals,True
119,Saanvi Barad,29,"['Banking  Finance ', '  Family ', ' Constitutional ']",,f,280.1865383642719,,"['Odia', 'Kannada']",Babu LLC,Chennai, Large Corporations,True
120,Bhavin Wali,15,"['Wali has 15 years of experience in Environmental ', '  Labor ', ' Constitutional ']",3.0,m,463.3346886994046,109.64166152103972,['Punjabi'],Hans-Borra,Hyderabad, Large Corporations,True
121,Trisha Sundaram,13,"[' Consumer Protection ', 'Criminal ', '  Criminal ']",4.0,f,456.8511472157773,85.84665966346795,"['Malayalam', 'Assamese', 'Kannada']",Sule-Sharma,Chennai, Individuals,False
122,Indranil Subramaniam,1,"[' Medical ', '  Intellectual Property ', 'Labor ']",3.0,m,120.43814603708356,79.92418816112884,"['Odia', 'Assamese', 'Kannada']",Kara-Kashyap,Delhi, Individuals,False
123,Zoya Khalsa,25,"['Criminal ', '  Intellectual Property ', ' Civil ']",2.0,f,214.9869650434054,71.18758519506594,"['Odia', 'Gujarati', 'Urdu']",Buch-Sama,Delhi, Large Corporations,False
124,Hazel Basu,7,"['  Immigration ', 'Constitutional ', ' Intellectual Property ']",2.0,f,328.6046300210133,81.67474947683836,"['Bengali', 'Punjabi', 'Kannada']",Andra,Delhi, Individuals,False
125,Kartik Goel,9,"['Medical ', '  Media  Entertainment ', ' Labor ']",3.0,m,121.72769814713098,68.96446074864262,"['Tamil', 'Malayalam', 'Telugu']",Chhabra,Hyderabad, Large Corporations,False
126,Ojas Jain,24,"[' Real Estate ', 'has 24 years of experience in Family ', '  Human Rights ']",3.0,m,485.6099774205824,121.36641409098715,"['Hindi', 'Telugu']",Bassi-Tripathi,Hyderabad, Large Corporations,True
127,Tanya Sood,1,"['Consumer Protection ', ' Consumer Protection ', '  Immigration ']",2.0,f,461.6371979274472,89.6634592202914,"['Malayalam', 'Marathi']",Sundaram-Mani,Chennai, Large Corporations,True
128,Shlok Mangal,12,"['Media  Entertainment ', ' Criminal ', '  Criminal ']",3.0,f,125.12758056551114,89.13074187355923,"['Tamil', 'Bengali']",Viswanathan,Mumbai, Large Corporations,True
129,Tushar Dugar,8,"['Constitutional ', ' Constitutional ', '  Tax ']",,m,104.51995756744344,,"['Malayalam', 'Gujarati', 'Telugu']",Dasgupta-Mangat,Hyderabad, Large Corporations,True
130,Advik Mangal,24,"['  Consumer Protection ', 'Human Rights ', ' Civil ']",4.0,m,88.43381726371939,104.43517753899854,"['Hindi', 'Assamese', 'Kannada']",Kala Inc,Chennai, Large Corporations,False
131,Armaan Wagle,11,"['Corporate ', '  Immigration ', ' Civil ']",1.0,m,459.249648816484,104.18832234831959,"['Punjabi', 'Kannada', 'Telugu']",Jain-Vasa,Mumbai, Individuals,True
